counterparty,mode,amount,hour,day_of_week,freq_per_week,avg_amount_counterparty,transaction_count_counterparty,days_since_last_transaction,category
Neha,UPI,3404.5,9,Monday,1,3579.61,2,13,Miscellaneous
Fresh Basket,CARD,476.17,11,Monday,1,671.77,5,3,Groceries
City Mart,UPI,547.67,20,Sunday,2,659.57,8,5,Groceries
Suresh,CARD,1314.56,9,Thursday,3,1396.37,12,3,Food
Reliance Smart,NETBANKING,1300.72,19,Monday,2,1600.07,4,8,Groceries
Fresh Basket,CARD,352.07,17,Friday,5,417.67,5,2,Groceries
City Bus,UPI,186.99,7,Monday,5,312.75,10,3,Transport
Rakesh,CARD,152.98,14,Saturday,4,174.7,6,1,Food
Suresh,UPI,359.05,22,Friday,4,582.8,11,3,Food
Medical Store,UPI,2135.95,10,Wednesday,1,3534.88,4,20,Miscellaneous
Kumar Enterprises,CARD,1430.02,21,Saturday,2,1793.01,10,22,Miscellaneous
YouTube,UPI,510.75,18,Wednesday,1,490.49,6,39,Entertainment
PVR,CARD,179.42,18,Wednesday,7,198.25,5,5,Entertainment
Flipkart,CARD,345.26,15,Friday,1,317.7,5,15,Miscellaneous
Power Services,CARD,1859.6,9,Thursday,1,1742.65,12,37,Miscellaneous
Flipkart,CARD,1944.62,17,Thursday,1,1546.62,7,17,Miscellaneous
Friend,NETBANKING,625.91,12,Wednesday,1,660.02,5,19,Miscellaneous
Annapurna,CARD,186.14,14,Friday,3,279.97,15,0,Food
Local Cafe,CARD,1098.54,21,Thursday,3,1986.34,8,2,Food
Rakesh,UPI,670.73,13,Saturday,3,572.71,13,3,Food
Book Store,UPI,1373.14,16,Sunday,1,2114.26,2,16,Miscellaneous
Electro World,NETBANKING,7408.73,15,Friday,2,6996.48,5,5,Miscellaneous
Gaming Cafe,CARD,668.45,17,Saturday,2,584.01,4,18,Entertainment
Local Store,CARD,2932.83,16,Friday,1,2407.8,3,8,Miscellaneous
Game Store,UPI,929.84,17,Sunday,2,1375.06,5,21,Entertainment
Suresh,UPI,83.3,19,Monday,4,73.9,5,1,Food
Health Care,UPI,1687.28,10,Tuesday,1,1747.47,2,1,Miscellaneous
Apollo,UPI,2765.9,9,Tuesday,3,3413.12,2,4,Miscellaneous
IRCTC,UPI,19058.91,13,Friday,2,6368.53,4,2,Miscellaneous
City Bus,UPI,101.18,20,Monday,6,86.23,15,1,Transport
Cab Service,UPI,119.44,21,Sunday,3,160.6,28,3,Transport
Local Cafe,UPI,729.03,13,Sunday,4,374.23,13,5,Food
City Bus,UPI,539.54,9,Friday,4,547.95,10,0,Transport
Kumar Enterprises,UPI,435.56,20,Thursday,2,612.23,5,10,Miscellaneous
Rapido,UPI,321.91,10,Sunday,3,170.18,26,9,Transport
Ola Cabs,CASH,586.64,19,Wednesday,5,512.53,9,3,Transport
Rahul Kumar,UPI,369.28,12,Monday,7,185.97,11,1,Food
Arjun,UPI,12451.87,20,Tuesday,1,12687.15,2,10,Miscellaneous
Online Course,UPI,968.3,19,Friday,1,1077.06,2,169,Miscellaneous
City Hospital,UPI,1241.65,15,Saturday,1,1808.75,4,148,Miscellaneous
Ananya Stores,UPI,203.36,12,Friday,1,134.25,20,5,Groceries
BookMyShow,CARD,690.64,17,Saturday,1,1395.05,3,19,Entertainment
Clinic,UPI,156.14,15,Tuesday,1,147.92,2,16,Miscellaneous
Sai Restaurant,UPI,735.76,9,Sunday,4,728.41,12,0,Food
Family Account,UPI,1525.0,10,Tuesday,1,1176.01,7,20,Miscellaneous
Campus Canteen,UPI,108.13,19,Friday,5,120.96,23,1,Food
Amazon Prime,NETBANKING,109.36,18,Sunday,1,119.88,5,29,Entertainment
Local Mart,UPI,783.74,17,Sunday,1,1370.65,9,1,Groceries
City Mart,UPI,2922.85,8,Tuesday,1,4430.36,10,2,Groceries
Rahul Kumar,CASH,102.33,20,Tuesday,5,123.26,6,1,Food
Rahul Kumar,CARD,1116.15,20,Monday,4,1298.71,6,1,Food
Airtel,UPI,741.8,18,Tuesday,2,588.21,5,23,Miscellaneous
Rapido,CARD,187.88,9,Friday,5,116.63,32,1,Transport
Rakesh,UPI,228.32,19,Sunday,3,239.05,60,0,Food
Internet Services,CARD,1094.03,15,Monday,1,814.88,11,1,Miscellaneous
Health Care,UPI,2756.97,10,Friday,1,2036.13,1,11,Miscellaneous
Travel Agency,NETBANKING,2779.06,16,Sunday,1,3466.97,3,36,Miscellaneous
Rahul Kumar,UPI,513.23,14,Sunday,3,522.63,8,1,Food
Fresh Basket,UPI,1252.05,8,Tuesday,2,2332.84,18,4,Groceries
Airtel,UPI,736.39,10,Monday,1,544.86,8,1,Miscellaneous
Reliance Smart,UPI,294.64,17,Monday,4,152.7,4,12,Groceries
Arjun,UPI,8589.85,19,Thursday,3,6558.61,5,36,Miscellaneous
Book Store,UPI,8700.31,16,Saturday,1,8321.31,4,92,Miscellaneous
Green Bites,UPI,166.51,12,Saturday,2,153.63,7,5,Food
Campus Canteen,UPI,139.85,19,Friday,3,72.97,16,1,Food
Room Owner,CASH,17225.68,9,Sunday,1,19714.35,3,19,Miscellaneous
Landlord,NETBANKING,10703.29,20,Wednesday,1,9711.34,5,2,Miscellaneous
MakeMyTrip,NETBANKING,15256.02,6,Sunday,1,10060.82,2,20,Miscellaneous
Electricity Office,UPI,397.73,12,Sunday,1,181.41,2,64,Miscellaneous
Event Ticket,CARD,220.55,21,Friday,1,212.35,5,15,Entertainment
IRCTC,NETBANKING,4204.71,11,Saturday,2,2760.09,2,8,Miscellaneous
Neha,UPI,21374.67,15,Wednesday,1,26669.4,6,5,Miscellaneous
Amazon,UPI,10300.19,19,Sunday,2,6443.61,6,0,Miscellaneous
Local Cafe,UPI,344.39,13,Wednesday,2,449.3,7,2,Food
Spotify,UPI,966.77,23,Saturday,1,912.63,2,30,Entertainment
City Hospital,UPI,162.93,18,Monday,1,163.93,2,16,Miscellaneous
Electro World,CARD,10777.51,12,Wednesday,1,14318.86,6,14,Miscellaneous
Amazon,NETBANKING,3448.5,10,Monday,1,2912.41,5,19,Miscellaneous
Campus Canteen,UPI,131.27,19,Monday,4,383.72,5,3,Food
Electricity Office,NETBANKING,366.68,11,Saturday,1,384.09,4,19,Miscellaneous
Ananya Stores,UPI,174.03,18,Sunday,1,200.02,2,3,Groceries
Campus Canteen,UPI,89.69,19,Saturday,4,116.93,10,1,Food
Medical Store,UPI,2305.57,17,Tuesday,2,2447.47,2,14,Miscellaneous
Green Bites,CARD,521.43,21,Thursday,2,910.46,15,2,Food
Sai Restaurant,UPI,266.24,8,Wednesday,5,288.63,26,2,Food
Sai Restaurant,UPI,664.86,9,Sunday,6,565.53,12,1,Food
Local Pharmacy,CARD,5404.13,8,Tuesday,1,6257.75,1,4,Miscellaneous
Daily Needs,UPI,583.59,21,Tuesday,3,493.75,6,2,Groceries
Amazon,CARD,8163.21,12,Sunday,2,9902.51,1,2,Miscellaneous
Annapurna,NETBANKING,1132.32,7,Friday,5,1136.84,9,1,Food
Rahul Kumar,CARD,98.89,22,Monday,2,82.17,13,4,Food
City Bus,UPI,74.29,17,Thursday,5,94.48,11,1,Transport
Metro Cab,UPI,113.27,17,Sunday,1,98.56,15,4,Transport
BookMyShow,CARD,1740.19,15,Sunday,2,1697.91,2,4,Entertainment
Green Bites,UPI,197.85,8,Tuesday,4,178.17,19,0,Food
Annapurna,CARD,565.5,7,Tuesday,6,566.83,7,3,Food
Reliance Smart,UPI,647.1,11,Monday,1,561.99,5,0,Groceries
City Bus,UPI,398.43,20,Wednesday,6,690.56,39,2,Transport
City Mart,UPI,1056.46,19,Sunday,1,1137.3,4,1,Groceries
Water Board,UPI,4276.36,15,Friday,2,3788.24,2,4,Miscellaneous
Water Board,UPI,354.63,17,Sunday,2,480.53,5,26,Miscellaneous
Auto Driver,CARD,355.59,7,Monday,3,440.24,14,8,Transport
Amazon Prime,UPI,100.3,2,Monday,1,111.43,2,12,Entertainment
Rajesh,NETBANKING,23596.33,8,Tuesday,1,25022.34,7,16,Miscellaneous
Movie Zone,CARD,1614.51,18,Friday,1,1271.18,16,3,Entertainment
Kumar Cafe,UPI,98.19,8,Sunday,3,118.86,24,1,Food
Flipkart,CARD,4579.58,21,Thursday,1,4383.47,4,3,Miscellaneous
Reliance Smart,UPI,307.4,21,Tuesday,1,151.87,4,1,Groceries
BSNL,UPI,3945.82,10,Wednesday,1,3838.69,5,25,Miscellaneous
Cab Service,CARD,81.19,18,Thursday,5,80.82,11,1,Transport
PVR,CARD,291.52,12,Saturday,2,363.36,7,16,Entertainment
Gaming Cafe,UPI,195.94,18,Saturday,3,169.79,2,6,Entertainment
College Office,UPI,738.34,15,Friday,1,674.57,1,8,Miscellaneous
Fresh Basket,CARD,168.46,18,Tuesday,5,273.64,11,7,Groceries
Fresh Basket,UPI,921.68,10,Thursday,3,715.54,8,5,Groceries
Campus Canteen,UPI,206.42,22,Wednesday,3,82.39,11,3,Food
Kumar Enterprises,CARD,8598.33,10,Monday,2,10346.99,4,7,Miscellaneous
City Mart,CARD,3027.29,21,Tuesday,3,1577.55,9,4,Groceries
Health Care,CARD,4742.97,14,Monday,1,5084.05,2,1,Miscellaneous
Flipkart,CARD,246.19,10,Friday,1,190.3,12,10,Miscellaneous
Fresh Basket,CASH,415.25,10,Monday,3,320.07,6,1,Groceries
Fresh Point,UPI,1087.49,11,Wednesday,1,1455.01,6,0,Groceries
Local Mart,CARD,380.79,21,Sunday,1,391.46,6,4,Groceries
Apollo,UPI,112.31,8,Tuesday,1,160.63,7,122,Miscellaneous
Suresh,UPI,522.9,13,Monday,3,1146.0,3,8,Food
Green Bites,UPI,170.47,13,Saturday,4,289.79,25,0,Food
Fresh Basket,UPI,1627.24,8,Sunday,4,2544.76,11,1,Groceries
Auto Driver,UPI,131.53,13,Monday,2,134.01,13,3,Transport
PVR,CARD,571.73,21,Thursday,2,575.81,3,4,Entertainment
Training Center,NETBANKING,4157.53,12,Saturday,1,5175.48,3,17,Miscellaneous
Power Services,UPI,384.6,20,Tuesday,1,249.57,5,1,Miscellaneous
Internet Services,UPI,335.63,16,Saturday,1,548.02,3,8,Miscellaneous
University Fees,UPI,17159.17,19,Wednesday,1,15316.39,3,80,Miscellaneous
General Store,UPI,604.1,12,Thursday,1,840.2,15,4,Miscellaneous
Friend,UPI,10160.6,14,Sunday,1,6643.82,7,22,Miscellaneous
Game Store,CASH,2812.31,20,Monday,1,3273.66,7,6,Entertainment
Green Bites,UPI,790.66,14,Thursday,6,417.68,21,0,Food
Room Owner,NETBANKING,22915.63,9,Wednesday,1,21073.25,2,18,Miscellaneous
Rahul Kumar,UPI,266.98,19,Monday,5,314.31,5,3,Food
Flipkart,UPI,2029.14,21,Friday,1,1804.62,4,3,Miscellaneous
Fresh Point,CARD,159.53,17,Tuesday,3,84.53,5,3,Groceries
Reliance Smart,UPI,180.84,17,Friday,4,184.97,40,4,Groceries
Rapido,UPI,151.12,17,Thursday,2,141.06,13,1,Transport
General Store,UPI,354.87,21,Wednesday,1,255.36,4,14,Miscellaneous
Local Cafe,UPI,542.07,7,Saturday,4,577.99,33,2,Food
College Office,NETBANKING,5951.23,17,Tuesday,1,9912.76,5,8,Miscellaneous
Campus Canteen,CARD,391.77,7,Wednesday,3,464.28,10,4,Food
Local Mart,UPI,156.65,8,Thursday,3,166.29,6,0,Groceries
Suresh,UPI,489.91,13,Wednesday,1,461.36,4,4,Food
Suresh,CARD,83.37,7,Tuesday,1,99.58,22,0,Food
Book Store,UPI,3284.41,10,Friday,1,3893.63,7,10,Miscellaneous
Medical Store,UPI,379.19,13,Tuesday,1,331.53,5,40,Miscellaneous
Annapurna,CARD,309.4,8,Sunday,5,329.19,18,0,Food
Rakesh,UPI,491.11,8,Sunday,4,733.08,7,11,Food
Sai Restaurant,UPI,287.23,19,Thursday,5,381.26,11,2,Food
Rakesh,UPI,249.41,13,Sunday,1,358.67,11,2,Food
Myntra,CARD,236.1,16,Sunday,4,242.67,5,31,Miscellaneous
Cloud Service,CARD,383.19,8,Monday,1,330.32,7,56,Entertainment
Priya Foods,CARD,689.11,13,Saturday,5,986.72,2,10,Food
Rajesh,CARD,19240.79,9,Tuesday,1,30000.0,2,6,Miscellaneous
Online Course,NETBANKING,13392.4,14,Sunday,2,21183.05,7,6,Miscellaneous
Bus Booking,CARD,25374.54,20,Thursday,1,29157.36,1,34,Miscellaneous
Room Owner,NETBANKING,11160.25,11,Tuesday,1,13206.15,4,12,Miscellaneous
Myntra,UPI,10403.96,16,Friday,2,8022.49,3,16,Miscellaneous
Suresh,UPI,970.84,9,Friday,4,1377.53,7,3,Food
Rakesh,CARD,1144.5,9,Sunday,4,889.72,8,3,Food
General Store,UPI,1783.3,10,Wednesday,5,2762.38,14,8,Miscellaneous
College Office,CARD,10028.59,13,Sunday,1,7102.05,3,24,Miscellaneous
Power Services,CARD,637.84,10,Thursday,3,409.36,3,3,Miscellaneous
Amazon,CARD,3651.64,14,Sunday,1,5160.82,7,28,Miscellaneous
Suresh,NETBANKING,942.67,13,Thursday,3,1076.0,16,2,Food
Online Course,CASH,10961.93,10,Wednesday,2,13173.42,2,27,Miscellaneous
City Mart,UPI,1462.21,12,Tuesday,2,2636.0,12,4,Groceries
BookMyShow,UPI,2147.67,14,Friday,1,2081.02,7,5,Entertainment
Water Board,CASH,2268.83,20,Sunday,2,1649.02,4,13,Miscellaneous
Cab Service,UPI,118.95,13,Wednesday,4,310.3,25,1,Transport
Event Ticket,CARD,146.05,12,Tuesday,1,170.17,3,5,Entertainment
Family Account,UPI,711.13,9,Wednesday,1,1376.12,5,15,Miscellaneous
Fashion Point,CARD,1077.33,18,Wednesday,1,1306.81,8,8,Miscellaneous
BSNL,UPI,2942.43,20,Monday,3,2421.54,7,6,Miscellaneous
City Mart,NETBANKING,747.16,18,Monday,5,546.36,30,3,Groceries
Electro World,UPI,340.22,10,Sunday,2,299.15,4,20,Miscellaneous
Cab Service,CASH,328.17,18,Monday,2,301.66,23,1,Transport
Priya Foods,UPI,242.48,9,Sunday,1,302.89,19,1,Food
Priya Sharma,UPI,315.72,10,Friday,1,525.95,7,1,Miscellaneous
Internet Services,UPI,6066.59,18,Thursday,1,5315.17,9,50,Miscellaneous
Internet Services,CARD,3393.82,11,Wednesday,1,2325.89,10,11,Miscellaneous
Sai Restaurant,CARD,124.46,9,Tuesday,4,151.58,13,5,Food
Online Course,UPI,7653.85,17,Saturday,2,3995.32,9,46,Miscellaneous
Annapurna,UPI,207.72,14,Tuesday,1,208.79,7,12,Food
City Hospital,CARD,381.01,16,Wednesday,1,232.32,8,54,Miscellaneous
Fresh Point,NETBANKING,153.43,11,Sunday,2,180.41,19,1,Groceries
Annapurna,CARD,239.94,14,Monday,3,210.83,16,3,Food
Online Course,CARD,7486.8,13,Sunday,1,8921.16,3,6,Miscellaneous
Rahul Kumar,NETBANKING,142.01,19,Thursday,2,222.04,17,6,Food
Uber,UPI,172.53,20,Thursday,4,197.67,8,2,Transport
Room Owner,NETBANKING,14647.31,8,Friday,1,14820.63,3,21,Miscellaneous
Kumar Cafe,UPI,126.77,13,Wednesday,4,164.26,8,4,Food
Priya Foods,UPI,356.6,8,Tuesday,4,226.83,9,0,Food
Friend,UPI,11896.71,9,Monday,4,17308.91,4,4,Miscellaneous
Flipkart,UPI,2412.91,11,Friday,5,1537.64,6,5,Miscellaneous
Daily Needs,CARD,320.21,20,Wednesday,3,297.34,11,2,Groceries
Sai Restaurant,UPI,380.89,8,Friday,3,710.74,10,2,Food
Landlord,UPI,17879.78,18,Friday,2,17150.21,2,12,Miscellaneous
Annapurna,CASH,108.24,7,Thursday,4,47.69,6,1,Food
Fresh Basket,UPI,2907.18,21,Saturday,3,2441.28,6,9,Groceries
Jio,CARD,2005.07,16,Wednesday,1,1982.18,7,8,Miscellaneous
Fashion Point,UPI,508.26,10,Friday,1,894.09,12,29,Miscellaneous
YouTube,UPI,539.78,1,Saturday,1,695.97,6,4,Entertainment
Power Services,UPI,2408.74,9,Friday,2,3312.99,4,12,Miscellaneous
Uber,UPI,522.06,18,Friday,4,486.56,53,2,Transport
Local Cafe,UPI,322.55,14,Wednesday,5,281.61,7,3,Food
Clinic,UPI,147.8,14,Thursday,1,252.16,5,31,Miscellaneous
Kumar Cafe,UPI,1075.28,22,Sunday,4,1501.16,9,12,Food
Neha,UPI,3334.81,8,Thursday,2,3854.66,5,7,Miscellaneous
Fashion Point,UPI,5780.73,18,Thursday,1,2243.85,4,4,Miscellaneous
Amazon,CARD,6604.4,15,Saturday,5,7027.05,29,0,Miscellaneous
City Hospital,CARD,2362.81,12,Monday,1,2609.13,4,27,Miscellaneous
Local Store,UPI,9938.64,19,Sunday,1,15473.1,2,16,Miscellaneous
MakeMyTrip,UPI,18881.8,21,Saturday,1,22613.96,1,24,Miscellaneous
Fashion Point,CARD,628.83,16,Wednesday,1,658.11,5,9,Miscellaneous
Cab Service,CASH,897.04,17,Friday,4,836.49,8,1,Transport
Fashion Point,UPI,1894.2,17,Wednesday,1,1998.52,28,2,Miscellaneous
Campus Canteen,UPI,1362.83,20,Monday,7,1088.41,11,2,Food
Ananya Stores,UPI,246.93,8,Saturday,3,278.6,12,0,Groceries
Rahul Kumar,UPI,88.66,9,Thursday,2,198.99,15,2,Food
Priya Foods,NETBANKING,294.52,12,Sunday,5,363.98,27,1,Food
Ananya Stores,UPI,2423.75,12,Monday,4,3678.02,5,1,Groceries
BookMyShow,CARD,162.81,19,Wednesday,1,154.31,4,21,Entertainment
Electro World,CARD,868.47,14,Friday,1,574.28,16,3,Miscellaneous
College Office,NETBANKING,1131.8,11,Monday,1,1459.83,3,78,Miscellaneous
Flipkart,CASH,1095.1,19,Wednesday,1,1473.08,4,3,Miscellaneous
Ravi,UPI,13720.65,13,Tuesday,3,12227.39,6,29,Miscellaneous
Training Center,UPI,344.32,12,Tuesday,1,340.19,4,41,Miscellaneous
Rakesh,NETBANKING,125.41,20,Sunday,5,114.44,13,2,Food
YouTube,NETBANKING,100.98,21,Tuesday,1,64.57,5,21,Entertainment
Hostel Rent,UPI,15909.8,8,Friday,1,23772.21,1,30,Miscellaneous
Rajesh,CASH,12122.13,10,Wednesday,2,20421.25,4,12,Miscellaneous
Local Cafe,UPI,190.75,12,Sunday,5,197.67,5,1,Food
Kumar Enterprises,CARD,7315.21,20,Thursday,2,15289.1,13,1,Miscellaneous
Power Services,UPI,465.03,14,Thursday,1,417.97,4,14,Miscellaneous
Local Mart,CASH,952.38,12,Sunday,2,803.11,7,1,Groceries
Green Bites,UPI,222.69,8,Saturday,4,237.07,8,1,Food
Cab Service,UPI,596.53,10,Monday,5,593.31,11,1,Transport
Movie Zone,UPI,460.1,14,Wednesday,2,616.53,6,5,Entertainment
Electro World,UPI,2422.59,20,Tuesday,1,1548.99,8,4,Miscellaneous
PVR,CARD,101.1,15,Friday,3,71.84,5,5,Entertainment
Fashion Point,CARD,379.18,17,Sunday,1,442.3,13,5,Miscellaneous
Health Care,UPI,639.38,8,Saturday,1,495.46,7,11,Miscellaneous
General Store,UPI,1179.55,17,Thursday,4,953.17,7,3,Miscellaneous
Electricity Office,UPI,2064.95,10,Friday,3,2032.69,1,2,Miscellaneous
BSNL,UPI,1682.15,15,Tuesday,2,854.27,5,1,Miscellaneous
Ola Cabs,UPI,354.38,21,Wednesday,5,277.2,23,2,Transport
Uber,UPI,2249.04,20,Tuesday,5,5808.16,12,2,Transport
University Fees,UPI,378.57,10,Monday,1,316.63,2,29,Miscellaneous
Gaming Cafe,CARD,101.48,14,Friday,1,114.53,13,8,Entertainment
Fresh Point,UPI,803.28,8,Wednesday,1,574.68,20,8,Groceries
Myntra,UPI,455.83,18,Friday,1,390.76,22,9,Miscellaneous
Kumar Cafe,UPI,228.3,9,Saturday,5,158.13,12,4,Food
BSNL,UPI,358.56,10,Thursday,2,596.05,2,15,Miscellaneous
Water Board,UPI,2203.73,12,Monday,1,2309.02,4,30,Miscellaneous
Rajesh,NETBANKING,8895.94,10,Friday,1,6900.15,2,3,Miscellaneous
City Hospital,UPI,3701.64,15,Tuesday,1,2052.82,11,38,Miscellaneous
Local Store,UPI,651.65,16,Sunday,2,377.91,3,15,Miscellaneous
Rapido,UPI,1089.59,18,Friday,4,969.45,24,3,Transport
City Hospital,UPI,7891.56,15,Monday,1,4257.09,4,120,Miscellaneous
Ananya Stores,CARD,1154.76,20,Monday,4,1275.4,12,4,Groceries
Priya Sharma,CASH,20800.79,15,Sunday,1,22756.63,4,15,Miscellaneous
Rakesh,CASH,91.65,20,Monday,3,78.57,34,1,Food
Maa Grocery,CARD,276.75,10,Tuesday,2,483.26,8,3,Groceries
Friend,UPI,16506.23,10,Saturday,1,10805.97,13,6,Miscellaneous
Electro World,UPI,5303.82,12,Sunday,1,8246.22,15,4,Miscellaneous
Daily Needs,CARD,3225.9,19,Friday,1,4799.72,13,1,Groceries
Ananya Stores,UPI,465.28,18,Wednesday,2,361.16,5,6,Groceries
Ola Cabs,UPI,180.35,13,Saturday,4,138.7,45,3,Transport
City Mart,NETBANKING,186.65,10,Tuesday,2,181.53,3,1,Groceries
Electricity Office,NETBANKING,400.16,14,Wednesday,1,307.18,3,23,Miscellaneous
Sai Restaurant,UPI,459.04,19,Saturday,3,628.69,20,1,Food
Auto Driver,UPI,738.25,8,Monday,2,826.55,7,4,Transport
Electro World,UPI,9968.73,15,Saturday,1,8499.01,5,5,Miscellaneous
Exam Cell,UPI,6091.58,8,Thursday,1,4137.48,1,180,Miscellaneous
Auto Driver,NETBANKING,71.04,22,Friday,3,59.91,44,3,Transport
Priya Foods,NETBANKING,136.41,21,Tuesday,5,150.1,51,1,Food
Auto Driver,CARD,106.31,19,Thursday,5,89.56,4,2,Transport
Arjun,UPI,6168.16,18,Thursday,3,5972.64,3,1,Miscellaneous
Green Bites,UPI,1395.02,9,Monday,6,1643.9,7,1,Food
Priya Sharma,NETBANKING,600.73,14,Wednesday,1,555.42,2,13,Miscellaneous
Travel Agency,CASH,10133.95,6,Sunday,1,10504.8,2,2,Miscellaneous
Daily Needs,UPI,2225.32,18,Saturday,5,2521.77,15,5,Groceries
Landlord,CARD,6331.98,12,Sunday,1,5514.41,2,68,Miscellaneous
Rajesh,NETBANKING,12989.0,18,Friday,1,7924.07,4,13,Miscellaneous
Suresh,UPI,666.73,8,Saturday,4,579.72,10,0,Food
Landlord,NETBANKING,6916.25,12,Wednesday,1,6627.31,3,4,Miscellaneous
Health Care,CARD,1120.79,14,Sunday,1,1032.44,3,64,Miscellaneous
Hostel Rent,UPI,13254.68,18,Saturday,2,12380.01,3,25,Miscellaneous
Uber,UPI,2342.99,18,Tuesday,7,2409.59,4,2,Transport
Hotel,CASH,5243.18,7,Wednesday,1,3786.05,4,31,Miscellaneous
Maa Grocery,UPI,3483.75,8,Saturday,4,3837.81,10,3,Groceries
Movie Zone,CARD,116.13,22,Saturday,3,78.18,3,30,Entertainment
Game Store,UPI,120.34,21,Wednesday,2,74.57,19,13,Entertainment
Kumar Cafe,UPI,558.7,21,Wednesday,6,307.86,5,4,Food
Local Pharmacy,UPI,1923.57,10,Wednesday,1,2603.14,2,10,Miscellaneous
Water Board,CARD,1723.82,16,Saturday,1,2877.49,9,23,Miscellaneous
Jio,CARD,2781.0,20,Thursday,2,2501.01,9,1,Miscellaneous
Daily Needs,UPI,276.16,11,Tuesday,2,273.69,12,5,Groceries
Amazon Prime,CARD,230.29,21,Friday,1,127.67,7,15,Entertainment
Priya Foods,UPI,392.01,8,Friday,5,386.93,14,3,Food
Online Course,UPI,785.99,18,Friday,1,728.34,6,112,Miscellaneous
Kumar Cafe,UPI,192.53,8,Thursday,3,223.68,14,3,Food
Property Manager,NETBANKING,29855.07,20,Monday,1,30000.0,2,30,Miscellaneous
MakeMyTrip,NETBANKING,5679.77,8,Monday,1,4342.22,2,4,Miscellaneous
Suresh,UPI,94.34,21,Friday,4,108.72,9,8,Food
Clinic,UPI,7283.48,13,Wednesday,2,7852.37,4,160,Miscellaneous
Electricity Office,UPI,467.39,9,Sunday,2,1296.14,2,3,Miscellaneous
Room Owner,UPI,19378.09,20,Wednesday,1,25745.26,2,11,Miscellaneous
Kumar Cafe,CARD,80.7,13,Friday,6,95.38,37,2,Food
Water Board,CARD,6920.68,20,Sunday,1,9447.11,4,23,Miscellaneous
Rakesh,UPI,163.31,19,Saturday,5,97.55,10,0,Food
Kumar Cafe,CARD,81.06,14,Friday,6,92.06,10,3,Food
Fashion Point,UPI,8401.44,14,Saturday,4,8536.48,12,0,Miscellaneous
PVR,CARD,264.08,17,Tuesday,3,299.81,3,5,Entertainment
City Mart,UPI,3334.12,17,Friday,2,4382.51,16,0,Groceries
Fresh Basket,UPI,570.86,21,Tuesday,1,744.57,5,5,Groceries
Reliance Smart,UPI,1075.39,20,Friday,1,1875.97,10,1,Groceries
Amazon,CARD,647.58,15,Thursday,1,328.84,7,1,Miscellaneous
Reliance Smart,CARD,1881.22,11,Saturday,3,3041.96,11,7,Groceries
Amazon,CARD,10329.14,16,Sunday,3,10252.26,13,10,Miscellaneous
Health Care,CARD,9955.89,15,Wednesday,1,18570.86,3,21,Miscellaneous
College Office,UPI,346.46,8,Wednesday,2,110.57,3,8,Miscellaneous
Fresh Point,CARD,2713.19,18,Saturday,1,3937.71,13,2,Groceries
Online Course,CARD,365.85,8,Wednesday,5,489.95,8,10,Miscellaneous
Green Bites,UPI,989.99,8,Thursday,4,1469.99,10,2,Food
Gaming Cafe,CARD,294.77,12,Thursday,1,377.19,1,11,Entertainment
Kumar Enterprises,CARD,3102.9,11,Saturday,2,4458.59,14,23,Miscellaneous
Fashion Point,CARD,2625.72,18,Monday,2,2400.41,5,1,Miscellaneous
Amazon,UPI,1226.3,14,Saturday,1,1967.67,10,37,Miscellaneous
Rapido,UPI,235.38,10,Sunday,5,195.35,8,8,Transport
City Bus,UPI,298.88,8,Thursday,2,294.39,25,0,Transport
Arjun,UPI,1897.23,16,Saturday,2,1567.1,10,6,Miscellaneous
Daily Needs,CARD,574.36,17,Tuesday,5,577.06,19,0,Groceries
Medical Store,NETBANKING,488.11,14,Saturday,1,542.27,6,23,Miscellaneous
Airline,CARD,4996.84,12,Friday,1,5858.67,4,50,Miscellaneous
BookMyShow,NETBANKING,164.57,12,Thursday,1,172.12,2,12,Entertainment
Local Store,CARD,224.36,19,Thursday,3,312.24,5,1,Miscellaneous
Daily Needs,UPI,1140.74,11,Wednesday,2,842.0,8,1,Groceries
Local Store,CARD,1004.09,15,Thursday,1,709.34,5,1,Miscellaneous
Game Store,CASH,182.21,19,Monday,2,229.05,8,12,Entertainment
Cab Service,UPI,189.95,10,Saturday,4,223.02,18,7,Transport
Daily Needs,CARD,1715.44,21,Wednesday,5,1451.57,16,0,Groceries
Exam Cell,UPI,2794.1,19,Monday,2,1435.47,1,32,Miscellaneous
Property Manager,UPI,6985.88,19,Thursday,1,10960.37,1,52,Miscellaneous
Flipkart,CARD,2714.53,12,Tuesday,2,2540.11,5,20,Miscellaneous
Online Course,UPI,1912.24,8,Sunday,1,2375.97,5,51,Miscellaneous
Kumar Cafe,CARD,275.74,21,Saturday,3,317.06,21,2,Food
Amazon Prime,CARD,311.96,1,Sunday,1,399.8,22,19,Entertainment
Fresh Basket,UPI,189.93,8,Saturday,1,209.73,3,4,Groceries
Rahul Kumar,CARD,219.05,8,Friday,4,318.39,13,1,Food
Metro Cab,UPI,699.2,9,Tuesday,3,509.41,13,1,Transport
City Bus,NETBANKING,1629.97,13,Saturday,2,1936.67,11,1,Transport
Internet Services,UPI,510.96,11,Sunday,2,840.95,10,18,Miscellaneous
Electro World,CASH,852.66,17,Thursday,2,1321.85,16,0,Miscellaneous
Rapido,UPI,49.02,9,Wednesday,6,64.76,27,5,Transport
